Actual,Predicted
163,125.926704
113,125.926704
112,125.926704
112,125.926704
110,127.293365
150,155.06923
150,155.06923
129,128.9492
310,245.51279
143,147.21591
210,203.76895
114,133.30049
119,140.68059
146,148.06729
179,165.02174
200,176.74507
112,136.70119
200,205.21472
200,189.6249
1000,527.28235
200,236.11923
167,157.06146
118,171.11261
141,134.7501
281,221.6155
300,212.8954
159,212.8954
167,158.98184
178,178.36487
312,288.80936
200,208.47092
296,245.44121
295,253.34438
149,131.17674
103,131.17674
204,195.64568
201,208.35379
201,227.83376
136,141.85425
200,190.02525
105,115.36341
130,126.97083
137,137.3211
127,126.18286
139,151.15257
150,150.5304
150,148.25835
173,152.62614
131,137.35864
104,119.69622
180,180.73524
121,159.34554
192,180.9731
129,142.39244
150,145.12589
232,199.48268
338,267.27484
120,120.346695
200,185.56021
120,129.9403
129,122.916
129,120.82848
130,143.82213
101,103.548195
200,175.05742
101,108.10683
101,108.10683
104,111.27975
225,234.54077
200,204.37346
127,126.593666
135,152.95058
150,165.09862
170,165.46637
107,121.36843
300,276.19336
125,141.32832
160,176.31985
320,230.17651
106,134.694
305,203.25433
165,156.23427
126,133.44157
107,118.01893
180,176.45917
300,164.9278
104,164.9278
207,217.89961
164,164.5183
150,153.45491
125,122.23218
600,418.6062
125,128.69403
125,125.20058
125,127.88408
112,132.85175
195,190.11327
152,193.39445
101,105.3057
109,116.44955
166,154.1535
128,136.92363
140,149.14278
157,146.78035
270,261.5373
348,314.21542
170,167.9352
105,118.917694
113,119.271996
311,313.73212
350,283.76974
587,389.198
310,289.47247
117,130.45525
141,162.17906
115,129.7979
130,132.05801
181,161.92886
116,131.53067
200,188.16759
234,205.80083
248,240.20834
103,105.54274
140,175.6758
172,169.17073
275,247.77197
300,251.2279
174,168.07155
124,142.33836
248,207.0525
208,218.56929
150,163.36967
150,158.09164
150,155.24376
150,163.12617
201,172.8062
101,133.29485
180,180.87152
224,226.40456
150,157.75517
107,138.04967
117,148.05373
176,163.66
230,204.95972
420,387.5489
148,176.32965
210,206.65497
208,206.1104
319,226.21347
500,359.90204
126,134.76266
400,422.24963
115,128.98843
144,150.37874
400,384.42996
400,384.42996
400,395.75247
400,408.21912
400,346.12408
117,140.6766
180,149.85884
200,190.4356
129,120.623474
102,126.74513
106,108.496735
107,108.496735
105,112.56292
