Actual,Predicted
59,27.251982
11,21.700878
15,23.102627
20,21.41434
22,22.050028
20,19.214672
13,16.449577
12,16.898045
12,16.27332
20,18.953753
20,22.772593
13,16.804068
12,17.638891
23,25.171452
21,19.10393
15,19.624363
13,18.437887
14,19.793522
18,21.150806
16,23.312618
11,17.209002
23,21.679304
16,16.27332
11,18.25008
11,18.428291
12,16.804068
50,24.023592
30,21.020788
100,21.359972
13,19.194685
11,19.10393
18,25.766373
45,24.119184
15,17.209002
90,18.028881
11,16.412947
11,17.453093
45,16.898045
11,18.641514
22,19.567411
16,17.638891
13,17.638891
19,18.153429
11,17.994215
39,24.14191
11,17.098541
20,18.61432
97,19.10393
12,17.153746
31,22.486616
26,23.08727
14,16.898045
14,18.140652
20,18.428291
20,16.889563
20,18.428291
20,18.428291
11,18.917555
11,16.926996
21,17.208414
33,22.318287
14,21.482113
12,17.209002
15,23.475769
14,16.27332
13,16.898045
14,17.108387
34,22.409864
11,19.035246
12,20.439978
12,18.382498
15,25.36596
20,21.179724
38,25.487011
37,25.487011
28,21.335962
16,16.9872
57,22.642008
11,18.36091
21,21.39001
26,20.177073
69,30.092552
25,19.200335
20,21.290749
20,21.290749
13,20.523891
25,19.906778
11,20.523891
13,18.586576
18,17.424086
11,15.15123
15,16.958952
18,20.844822
13,17.022228
56,29.207136
55,29.207136
12,17.298927
69,25.38168
40,23.008642
12,19.651627
13,16.483221
15,18.43329
11,20.261757
20,16.212841
20,23.815855
15,18.748062
14,19.444147
23,19.444147
15,21.731647
15,21.731647
13,19.759907
11,15.604267
12,15.557505
27,25.755322
57,26.526142
11,15.484404
18,17.127254
25,25.38168
33,25.38168
25,19.291527
22,19.477978
86,28.485167
15,18.169985
30,18.102188
11,16.846256
12,20.523891
20,20.482933
11,20.888494
24,23.105373
23,26.481703
13,17.886538
13,17.886538
13,18.96033
41,24.241379
18,21.104307
100,24.875107
20,17.262983
43,21.657232
19,20.150274
13,17.096241
50,19.884594
21,23.897234
22,18.347525
22,17.63542
12,16.993166
15,23.514751
50,24.633266
21,18.07516
31,23.60614
50,20.025677
50,23.404219
11,22.268793
24,25.51784
11,14.414066
15,14.912809
51,23.19658
20,20.633356
18,21.790085
30,21.069616
15,15.635052
50,16.447962
16,15.635052
13,27.94671
15,20.066662
12,19.827682
12,16.545
100,23.284977
15,23.284977
20,15.632395
20,21.5376
11,18.718699
12,15.632395
11,15.632395
12,15.632395
12,18.792671
20,19.518072
27,24.711159
50,29.35013
50,29.35013
51,29.35013
32,23.654364
12,18.388636
40,18.999237
12,17.63542
13,15.478611
12,13.95341
26,19.203514
20,23.83206
15,23.83206
18,16.813013
